sessionA,sessionB,idA,idB,gt,pred
0410,0417,0410_0,0417_3,1.0,1.0
0410,0417,0410_2,0417_13,1.0,1.0
0410,0417,0410_4,0417_2,1.0,0.0
0410,0417,0410_6,0417_1,1.0,1.0
0410,0417,0410_7,0417_5,1.0,0.0
0410,0417,0410_13,0417_14,1.0,1.0
0410,0424,0410_0,0424_1,1.0,1.0
0410,0424,0410_2,0424_13,1.0,0.0
0410,0424,0410_4,0424_11,1.0,0.0
0410,0424,0410_6,0424_6,1.0,0.0
0410,0424,0410_7,0424_9,1.0,0.0
0410,0424,0410_13,0424_5,1.0,0.0
0410,0501,0410_0,0501_5,1.0,1.0
0410,0501,0410_2,0501_2,1.0,0.0
0410,0501,0410_4,0501_6,1.0,0.0
0410,0501,0410_6,0501_13,1.0,0.0
0410,0501,0410_7,0501_7,1.0,0.0
0410,0501,0410_13,0501_11,1.0,0.0
0410,0320,0410_0,0320_2,1.0,0.0
0410,0320,0410_1,0320_3,1.0,0.0
0410,0320,0410_2,0320_8,1.0,1.0
0410,0320,0410_3,0320_0,1.0,0.0
0410,0320,0410_4,0320_4,1.0,1.0
0410,0320,0410_7,0320_9,1.0,0.0
0417,0424,0417_3,0424_1,1.0,0.0
0417,0424,0417_13,0424_13,1.0,0.0
0417,0424,0417_2,0424_11,1.0,0.0
0417,0424,0417_1,0424_6,1.0,0.0
0417,0424,0417_5,0424_9,1.0,0.0
0417,0424,0417_8,0424_2,1.0,1.0
0417,0424,0417_14,0424_5,1.0,1.0
0417,0424,0417_6,0424_0,1.0,0.0
0417,0501,0417_3,0501_5,1.0,0.0
0417,0501,0417_13,0501_2,1.0,1.0
0417,0501,0417_2,0501_6,1.0,0.0
0417,0501,0417_1,0501_13,1.0,0.0
0417,0501,0417_5,0501_7,1.0,0.0
0417,0501,0417_8,0501_10,1.0,1.0
0417,0501,0417_14,0501_11,1.0,0.0
0417,0501,0417_7,0501_4,1.0,0.0
0417,0501,0417_0,0501_3,1.0,1.0
0417,0320,0417_3,0320_2,1.0,0.0
0417,0320,0417_13,0320_8,1.0,1.0
0417,0320,0417_2,0320_4,1.0,1.0
0417,0320,0417_5,0320_9,1.0,0.0
0417,0320,0417_7,0320_1,1.0,0.0
0417,0320,0417_4,0320_5,1.0,0.0
0417,0320,0417_0,0320_10,1.0,0.0
0424,0501,0424_1,0501_5,1.0,1.0
0424,0501,0424_13,0501_2,1.0,1.0
0424,0501,0424_11,0501_6,1.0,1.0
0424,0501,0424_6,0501_13,1.0,1.0
0424,0501,0424_9,0501_7,1.0,0.0
0424,0501,0424_2,0501_10,1.0,1.0
0424,0501,0424_5,0501_11,1.0,0.0
0424,0320,0424_1,0320_2,1.0,1.0
0424,0320,0424_13,0320_8,1.0,1.0
0424,0320,0424_11,0320_4,1.0,1.0
0424,0320,0424_9,0320_9,1.0,1.0
0501,0320,0501_5,0320_2,1.0,0.0
0501,0320,0501_2,0320_8,1.0,1.0
0501,0320,0501_6,0320_4,1.0,1.0
0501,0320,0501_7,0320_9,1.0,0.0
0501,0320,0501_4,0320_1,1.0,0.0
0501,0320,0501_3,0320_10,1.0,0.0
,,0410_3,0320_9,0.0,1.0
,,0501_5,0320_9,0.0,1.0
,,0501_3,0320_2,0.0,1.0
,,0410_7,0424_6,0.0,1.0
